tire_id,ust_file,alt_file,ust_status,alt_status,elapsed_s,ebat,ebat_conf,hiz_grubu,hiz_grubu_conf,marka,marka_conf,desen,desen_conf,mevsim,mevsim_conf,dot,dot_conf,ekstra_lot,uretim_yeri,uretim_yeri_conf,tup,tup_conf
86,Ust_86.jpg,Alt_86.jpg,ok,ok,71.5,185/65 R14,3.36,86H,2.09,Crosswind,5.71,Comfort Peak,5.02,,0.0,1026,2.65,6LL410 | 1NYLON | 05H | LL243826 | 65R14 | 44PSI,Serbia,2.27,Tüpsüz,4.39
87,Ust_87.jpg,Alt_87.jpg,ok,ok,61.6,185/65 R14,3.1,86H,1.03,Crosswind,5.19,Comfort Peak,5.72,,0.0,0265,1.78,S2W2R3B | 6LL410 | COMFOR | 44PSI | S2W2R3 | 2STEEL,Serbia,2.14,Tüpsüz,4.15
88,Ust_88.jpg,Alt_88.jpg,ok,ok,75.9,185/65 R14,5.37,86H,2.06,Crosswind,6.45,Comfort Peak,4.81,,0.0,1026,3.41,6LL410 | 65R14 | S2W2R3B | 05H | 300KPA | 44PSI,Serbia,3.28,Tüpsüz,3.23
89,Ust_89.jpg,Alt_89.jpg,okunamadi,ok,32.0,195/50 R15,2.3,82V,2.1,General Tire,1.94,Altimax Winter 3,0.79,Yaz,1.8,1926,1.01,50R15 | S2W2R3B | 285 | TREADW | EA | 249,Turkiye,2.27,Tüpsüz,2.26
90,Ust_90.jpg,Alt_90.jpg,ok,ok,55.9,175/65 R14,2.25,86T,1.1,Waterfall,5.6,Quattro,3.53,4 Mevsim,2.83,,0.0,65R14 | 48EX | QUATTR | 2NW2 | SEASON | S2WR2,Torkiye,2.25,Tüpsüz,1.2
91,Ust_91.jpg,Alt_91.jpg,ok,ok,62.6,175/65 R14,4.33,86T,2.06,Lassa,3.93,Multiways 2,2.69,4 Mevsim,2.15,0526,3.41,65R14 | 48EX | 2NW2 | 0526 | 8KX082 | 55R16,,0.0,Tüpsüz,3.26
92,Ust_92.jpg,Alt_92.jpg,ok,ok,34.9,185/60 R15,1.16,88H,1.07,Continental,1.85,AllSeasonContact 2,2.3,4 Mevsim,0.95,0526,1.87,S2W2R3B | 034ULT | 60R15HXL | 60R1588HM | 60R15HX | 60R15,,0.0,Tüpsüz,1.17
93,Ust_93.jpg,Alt_93.jpg,ok,okunamadi,21.4,,0.0,,0.0,Continental,7.43,AllSeasonContact 2,3.96,4 Mevsim,2.64,,0.0,034ULT | 60R158 | R1588HM | SOR15HXL,,0.0,Tüpsüz,1.2
94,Ust_94.jpg,Alt_94.jpg,ok,ok,32.0,185/60 R15,2.2,88HM,1.11,Continental,5.77,AllSeasonContact,3.85,4 Mevsim,2.61,0526,1.9,034ULT | ONTACT2 | S2W2R3B | 60R15,,0.0,Tüpsüz,1.21
95,Ust_95.jpg,Alt_95.jpg,ok,ok,39.3,185/60 R15,4.25,H,1.49,Continental,3.69,AllSeasonContact,2.5,4 Mevsim,2.43,0526,1.89,034ULT | S2W2R3B | 60R15 | S2W2R3 | NCONTACT2,,0.0,Tüpsüz,2.28
96,Ust_96.jpg,Alt_96.jpg,ok,ok,58.3,185/60 R15,4.23,88H,3.0,Continental,11.5,AllSeasonContact 2,4.09,4 Mevsim,3.39,0526,0.9,S2W2R3B | 034ULT | NTAL3,,0.0,Tüpsüz,3.27
97,Ust_97.jpg,Alt_97.jpg,ok,okunamadi,20.6,185/60 R15,3.28,88HM,1.12,Continental,6.17,AllSeasonContact,1.73,4 Mevsim,1.72,,0.0,60R15 | 60R15HXL | S2W2R3B | 034ULT,,0.0,Tüpsüz,2.18
98,Ust_98.jpg,Alt_98.jpg,ok,ok,86.7,195/50 R15,1.23,82V,1.13,Vredestein,0.98,Ventus Prime 4,0.36,Yaz,0.99,1526,1.02,285 | S2W2R3B | 249370 | TREADW | EAR | 300,,0.0,Tüpsüz,2.14
99,Ust_99.jpg,Alt_99.jpg,okunamadi,ok,6.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0
100,Ust_100.jpg,Alt_100.jpg,okunamadi,ok,26.2,205/55 R16,1.21,51PS,1.12,Lassa,4.86,Multiways 2,0.79,,0.0,0226,1.85,55R16 | 8KX082 | 1POLYESTER | S2W2R3B | AT350KPO | L0AD615KG,,0.0,Tüpsüz,1.21
101,Ust_101.jpg,Alt_101.jpg,ok,okunamadi,6.6,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0
102,Ust_102.jpg,Alt_102.jpg,ok,ok,52.7,205/55 R16,5.36,615KG,1.12,Lassa,12.29,Multiways 2,1.42,,0.0,0226,1.86,55R16 | 8KX082 | 1POLYESTER | 13561B | S2W2R38 | S2W2P,,0.0,Tüpsüz,2.23
103,Ust_103.jpg,Alt_103.jpg,okunamadi,ok,30.7,205/55 R16,2.08,,0.0,Lassa,6.76,Multiways 2,1.42,,0.0,0226,1.88,8KX082 | 55R16 | 1POLYESTER | 35OKPG | 51PSI | 615KG,,0.0,Tüpsüz,1.2
104,Ust_104.jpg,Alt_104.jpg,ok,ok,58.6,205/55 R16,4.4,91V,1.13,Lassa,11.57,Multiways 2,0.79,,0.0,0226,1.9,8KX082 | 55R16 | 13561B | S2W2R3B | 1POLYESTER | LOAD615KG,,0.0,Tüpsüz,2.19
105,Ust_105.jpg,Alt_105.jpg,ok,okunamadi,29.9,205/55 R16,2.31,,0.0,Lassa,5.16,Competus H/L 2,1.42,,0.0,,0.0,55R16 | S2W2R38 | 8KX082,,0.0,Tüpsüz,1.06
106,Ust_106.jpg,Alt_106.jpg,ok,ok,57.4,205/55 R16,1.23,82V,1.12,General Tire,6.35,Altimax Winter 3,1.42,Yaz,0.97,1926,1.88,S2W2R3B | 285 | 249370 | TREADW | EAR | 300,Turkiye,2.29,Tüpsüz,3.3
107,Ust_107.jpg,Alt_107.jpg,okunamadi,ok,21.2,195/50 R15,2.31,,0.0,Hankook,1.75,Ventus Prime 4,3.28,Yaz,1.84,,0.0,50R15,Tur,1.19,Tüpsüz,3.39
108,Ust_108.jpg,Alt_108.jpg,ok,ok,68.6,185/65 R14,2.14,86H,1.95,Kumho,5.2,,0.0,,0.0,2013,1.78,65R14 | 1Y0 | TBREAT | ATURE | 185 | 61,,0.0,Tüpsüz,1.15
109,Ust_109.jpg,Alt_109.jpg,okunamadi,ok,30.0,185/65 R14,2.14,86H,1.95,Kumho,5.2,,0.0,,0.0,2013,1.78,65R14 | 1Y0 | TBREAT | ATURE | 185 | 61,,0.0,Tüpsüz,1.15
110,Ust_110.jpg,Alt_110.jpg,ok,ok,102.9,185/65 R14,2.14,86H,1.95,Kumho,5.2,,0.0,,0.0,2013,1.78,65R14 | 1Y0 | TBREAT | ATURE | 185 | 61,,0.0,Tüpsüz,1.15
111,Ust_111.jpg,Alt_111.jpg,ok,ok,42.1,185/65 R14,2.14,86H,1.95,Kumho,5.2,,0.0,,0.0,2013,1.78,65R14 | 1Y0 | TBREAT | ATURE | 185 | 61,,0.0,Tüpsüz,1.15
112,Ust_112.jpg,Alt_112.jpg,ok,ok,42.8,185/65 R14,4.3,86H,3.92,Kumho,7.42,Solus TA21,0.82,4 Mevsim,1.2,,0.0,9LYA8J | 1Y0 | SAFETY | WARNIN | 86H | SERICU,,0.0,Tüpsüz,1.2
113,Ust_113.jpg,Alt_113.jpg,ok,ok,31.1,185/65 R14,1.15,,0.0,Kumho,2.1,Solus TA21,0.75,4 Mevsim,1.17,,0.0,9LYA8J | 1YO | SAFETY | KUMHO | 1Y0 | 9L,Korea,1.15,Tüpsüz,1.17
114,Ust_114.jpg,Alt_114.jpg,okunamadi,okunamadi,0.2,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0
115,Ust_115.jpg,Alt_115.jpg,ok,ok,61.8,185/65 R14,4.39,86H,1.11,Crosswind,6.52,Comfort Peak,5.21,,0.0,1026,2.66,6LL410 | 65R14 | LL243826 | S2W2R3B | 05H | 1168IBS,Serbia,3.33,Tüpsüz,4.4
116,Ust_116.jpg,Alt_116.jpg,ok,ok,54.9,195/50 R15,2.28,82V,2.08,General Tire,1.88,Altimax Winter 3,0.79,Yaz,0.95,,0.0,S2W2R3B | 50R15 | 285 | 249370 | TREADW | EAR,Turkiye,2.3,Tüpsüz,2.3
117,Ust_117.jpg,Alt_117.jpg,okunamadi,okunamadi,0.2,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0
