tire_id,ust_file,alt_file,ust_status,alt_status,elapsed_s,ebat,ebat_conf,hiz_grubu,hiz_grubu_conf,marka,marka_conf,desen,desen_conf,mevsim,mevsim_conf,dot,dot_conf,ekstra_lot,uretim_yeri,uretim_yeri_conf,tup,tup_conf
102,Ust_102.jpg,Alt_102.jpg,ok,ok,12.3,205/55 R16,6.8,91V,1.53,Lassa,5.74,Competus H/L 2,1.42,,0.0,0226,2.62,55R16 | 8KX082 | 0278KX082 | 8KX08Z | 1PCLYESTER | S2H2R3B,,0.0,Tüpsüz,2.99
103,Ust_103.jpg,Alt_103.jpg,okunamadi,ok,7.3,205/55 R16,2.46,,0.0,Nexen,3.53,Winguard Sport 2,2.24,,0.0,0226,2.54,8KX082 | 55R16 | 1POLYESTER | LOAD615K9 | 1356IB | TPE4D,,0.0,Tüpsüz,1.67
104,Ust_104.jpg,Alt_104.jpg,ok,ok,13.3,205/55 R16,5.1,91V,0.97,Lassa,9.26,Multiways 2,1.42,,0.0,0226,2.73,55R16 | 8KX082 | 8KX08Z | 13561B | 2W2R3B | T350KP0,,0.0,Tüpsüz,3.31
105,Ust_105.jpg,Alt_105.jpg,ok,okunamadi,5.7,205/55 R16,3.76,T,0.63,Lassa,1.93,Multiways 2,0.79,,0.0,,0.0,55R16 | 8KX082 | 389S2W2R38 | 02718KX082 | 4389S2W2R3 | 6ALIICI,,0.0,Tüpsüz,1.49
106,Ust_106.jpg,Alt_106.jpg,ok,ok,17.1,195/50 R15,2.13,82V,1.96,Lassa,6.31,Snoways 3,2.84,Yaz,1.61,1926,2.29,285 | 249370 | TREADW | 8KX082 | 1047LBS | TRACTI,Turkiye,1.92,Tüpsüz,3.97
107,Ust_107.jpg,Alt_107.jpg,okunamadi,ok,6.9,195/50 R15,4.53,,0.0,Hankook,1.97,Ventus Prime 4,4.65,Yaz,2.05,5015,0.84,50R15 | SEDU5,,0.0,Tüpsüz,5.76
108,Ust_108.jpg,Alt_108.jpg,ok,ok,13.7,,0.0,,0.0,Kumho,2.45,,0.0,,0.0,2013,1.68,65R148 | 1Y0 | 185 | 2013 | 041568 | 4S2W2R,,0.0,,0.0
109,Ust_109.jpg,Alt_109.jpg,okunamadi,ok,7.6,,0.0,,0.0,Kumho,2.45,,0.0,,0.0,2013,1.68,65R148 | 1Y0 | 185 | 2013 | 041568 | 4S2W2R,,0.0,,0.0
110,Ust_110.jpg,Alt_110.jpg,ok,ok,16.1,,0.0,,0.0,Kumho,2.45,,0.0,,0.0,2013,1.68,65R148 | 1Y0 | 185 | 2013 | 041568 | 4S2W2R,,0.0,,0.0
111,Ust_111.jpg,Alt_111.jpg,ok,ok,12.2,,0.0,,0.0,Kumho,2.45,,0.0,,0.0,2013,1.68,65R148 | 1Y0 | 185 | 2013 | 041568 | 4S2W2R,,0.0,,0.0
112,Ust_112.jpg,Alt_112.jpg,ok,ok,14.5,185/65 R14,0.97,86H,0.9,Kumho,8.86,Solus TA21,0.75,4 Mevsim,1.57,1865,0.78,9LYA8J | 65R1486H | 86H | 1Y0 | 51PSI | 1YO,Wwwkumhotie,0.8,Tüpsüz,1.57
113,Ust_113.jpg,Alt_113.jpg,ok,ok,14.8,,0.0,,0.0,Kumho,7.33,Solus TA31,2.8,4 Mevsim,0.9,,0.0,1Y0 | 9L | SLYA8J | 65R1486H | STA21 | SAFETY,,0.0,Tüpsüz,1.46
114,Ust_114.jpg,Alt_114.jpg,okunamadi,okunamadi,0.3,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0
115,Ust_115.jpg,Alt_115.jpg,ok,ok,14.8,185/65 R14,4.47,86H,2.06,Crosswind,3.74,Comfort Peak,6.16,,0.0,1026,1.72,65R14 | LL243826 | RADIAL | TUBELE | 26 | 6LL410,Serbia,2.85,Tüpsüz,6.07
116,Ust_116.jpg,Alt_116.jpg,ok,ok,16.3,195/50 R15,3.47,82V,3.18,Hankook,1.04,Ventus Prime 4,4.29,Yaz,1.07,1926,1.66,50R15 | S2W2R3B | 285 | 249370 | LOAD475KG | 1047LBS,Turkiye,1.01,Tüpsüz,3.1
117,Ust_117.jpg,Alt_117.jpg,okunamadi,okunamadi,0.2,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0
